,RBC ( % of,total PE ),Parasite ( % of,total PE )
Species,Mean,"s.e.m.
( n = 3 )",Mean,"s.e.m.
( n = 3 )"
PE 14 : 0/18 : 1,0.22,0.03,0.55,0.12
PE 14 : 0/18 : 2,0.09,0.01,0.5,0.14
PE 16 : 0/16 : 0,0.77,0.12,2.39,0.48
PE 16 : 0/18 : 0,0.24,0.01,0.43,0.14
PE 16 : 0/18 : 1,23.49,0.68,29.14,1.04
PE 16 : 0/18 : 2,8.17,0.38,26.9,0.91
PE 16 : 0/20 : 1,0.23,0.01,0.14,0.06
PE 16 : 0/20 : 3,0.39,0.2,0.42,0.12
PE 16 : 0/20 : 4,12.54,1.16,9.92,0.9
PE 16 : 0/22 : 4,3.84,0.12,0.83,0.09
PE 16 : 0/22 : 5,2.24,0.21,0.69,0.16
PE 16 : 0/22 : 6,2.58,0.39,1.12,0.12
PE 18 : 0/18 : 1,6.85,0.27,4.82,0.64
PE 18 : 0/18 : 2,2.25,0.15,3.32,0.25
PE 18 : 0/20 : 3,0.59,0.3,0.78,0.18
PE 18 : 0/20 : 4,9.02,0.38,4.11,0.38
PE 18 : 0/22 : 4,1.3,0.09,0.27,0.07
PE 18 : 1/18 : 1,7.57,0.55,3.23,0.46
PE 18 : 1/18 : 2,7.3,0.38,2.92,0.68
PE 18 : 1/20 : 3,0.93,0.07,0.12,0.06
PE 18 : 1/20 : 4,7.66,0.4,1.6,0.12
PE 18 : 1/22 : 4,1.08,0.09,0.1,0.04
PE 18 : 2/18 : 2,0.66,0.02,0.61,0.3
