;mean_Ring ;mean_Trophozoite ;mean_Schizont ;reaction
CE;-44.87333333333333;-31.346666666666664;-64.43333333333334;2a
DAG;12.236666666666663;123.95222222222223;329.83000000000004;2a
FreeChol;-45.8066666666667;167.88777777777761;136.39;2a
LPC;-4.043333333333333;-2.0833333333333335;-4.96;2a
PC;75.17333333333335;629.762222222222;1576.2333333333333;2a
PE;75.84666666666666;324.95555555555563;607.5966666666666;2a
PG;2.6333333333333333;32.10666666666667;101.16333333333334;2a
PS;2.5233333333333334;90.95111111111109;107.47666666666666;2a
TAG;6.966666666666669;35.1888888888889;174.81;2a
Cer;-0.07666666666666666;2.46;1.5299999999999994;2a
DHSM;-0.6133333333333332;1.0255555555555567;2.5;2a
SM;-39.68666666666665;17.465555555555568;-11.26000000000002;2a
14:0;30.136499999999998;177.3561666666667;448.30113255360635;2b
18:0;29.4845;214.00038888888892;523.8628752436648;2b
16:0;29.8105;260.23272222222226;660.8827446393763;2b
14:1;31.820833333333336;190.5669814814815;543.0659434697857;2b
18:1;38.83083333333333;301.15742592592596;898.0779551656921;2b
16:1;31.820833333333336;190.52387037037036;551.4567641325536;2b
20:0;22.965166666666665;122.66472222222222;312.4370409356725;2b
20:1;31.51416666666667;186.63172222222224;508.3878011695906;2b
22:0;4.180000000000001;31.427111111111124;83.36287329434698;2b
22:1;9.24;62.88222222222222;181.67153606237818;2b
15:0;;0.02111111111110997;;2b
17:0;;0.15000000000000013;0.01333333333333342;2b
23:0;;0.38000000000000034;;2b
24:0;;5.777777777777793;;2b
24:1;;6.4555555555555415;;2b
24:2;;2.6222222222222342;0.7600000000000016;2b
24:3;;0.1266666666666667;0.016666666666666607;2b
25:0;;0.5566666666666666;0.32666666666666644;2b
25:1;;0.14888888888888996;;2b
26:0;;0.21333333333333337;;2b
26:1;;0.4111111111111099;0.22999999999999976;2b
26:2;;0.4322222222222235;0.2833333333333333;2b
PC 34:3;1.4566666666666668;7.278888888888891;31.26;T
PC 36:3;1.9166666666666679;21.66444444444443;57.17999999999999;T
PC 36:4;1.873333333333333;23.415555555555564;47.03333333333333;T
PC 36:5;0.2833333333333332;5.895555555555557;13.476666666666668;T
PC 38:3;0.5666666666666665;6.80888888888889;11.919999999999998;T
PC 38:4;0.09999999999999876;15.558888888888898;26.363333333333333;T
PC 38:5;4.326666666666668;20.587777777777767;37.593333333333334;T
PC 38:6;-0.6900000000000004;7.263333333333331;12.39333333333333;T
PC 38:7;0.03333333333333344;-0.20333333333333314;2.5933333333333337;T
PC 40:4;0.0;0.3066666666666667;1.1033333333333333;T
PC 40:5;0.6433333333333333;8.85;11.11;T
PC 40:6;-0.12999999999999995;4.06;10.64;T
PC 40:7;0.42000000000000004;1.7966666666666666;4.343333333333333;T
PC O-38:4;-0.11666666666666659;0.3433333333333333;4.153333333333334;T
PC O-38:5;0.0;0.59;2.0733333333333333;T
PE 36:3;5.973333333333334;22.53;45.05666666666666;T
PE 36:4;8.686666666666666;40.507777777777775;49.633333333333326;T
PE 36:5;0.0;10.646666666666667;15.899999999999999;T
PE 38:3;0.0;0.0;2.5433333333333334;T
PE 38:4;6.24;20.39444444444444;30.68;T
PE 38:5;1.3733333333333322;27.316666666666663;34.81666666666667;T
PE 38:6;0.0;8.103333333333333;11.93;T
PE 40:5;0.0;5.46;12.446666666666667;T
PE 40:6;0.0;3.1199999999999997;8.950000000000001;T
PS 38:4;-4.510000000000002;15.243333333333332;13.590000000000003;T
PS 38:5;0.0;3.266666666666667;0.0;T
PS 40:5;0.0;6.516666666666667;2.7533333333333334;T
PS 40:6;1.5033333333333332;9.03;8.226666666666667;T
TAG 54:6;4.393333333333334;15.365555555555568;6.420000000000002;T
TAG 56:6;1.733333333333333;17.28333333333333;5.076666666666668;T
